instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,Unnamed: 29,NOTES,sources,Unnamed: 32,attendingPersID,attendingChurchNote,order,diocese,diocese_reg
﻿stl.mo.0106,﻿church,﻿St. Joachim,﻿French and English,,,,﻿Washington County,﻿Washington County,﻿Old Mines,﻿Cadet,﻿MO,﻿MO,38.01610185,-90.75673622,,,,﻿j_bouillier_901,﻿Rev.,﻿J. Bouillier,,,,,,,1836,﻿http://www.oldmines.org/church.html ; https://stjoachim.org/,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0114,﻿church,not recorded,English,,,,﻿St. Louis County,﻿St. Charles County,﻿Portage des Sioux,﻿Portage des Sioux,﻿MO,﻿MO,38.92563742,-90.34453673,,,﻿once a month,﻿lev_verreight_901,﻿Rev.,﻿L. Verreydt,,,,,,,1836,"﻿https://en.wikipedia.org/wiki/Portage_Des_Sioux,_Missouri",,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0115,﻿church,not recorded,English,,,,,﻿Washington County,﻿Potosi Mines,﻿Potosi,﻿MO,﻿MO,37.93719027,-90.78632244,,,,﻿l_tucker_901,﻿Rev.,﻿L. Tucker,,,﻿Dw. at Old Mines,,,,1836,﻿https://www.mindat.org/photo-1373569.html ; https://www.stjames-potosi.org/our-parish/parish-history,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9003,﻿church,﻿St. Ann,English,,,,﻿St. Genevive County,,,,﻿MO,,37.93719027,-90.78632244,,,﻿occasionally,﻿f_x_dahmen_901,﻿Rev.,﻿F. X. Dahmen,,,,,,,1836,"﻿There are too many in later years to say definitively which one this refers to. For that reason, I am leaving it as a generic 9000 ID.",,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9004,﻿church,﻿St. Charles,﻿English and French,﻿Service 3 Sundays in the month,,,,,,,﻿MO,,37.93719027,-90.78632244,,,,﻿jud_van-assche_901,﻿Rev.,﻿Judocus Vanassche,,,,,,,1836,"﻿As above, I don't think that there is any clear case for this being one specific place that shows up later in the 1860s/1870s diocese.",,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0136,﻿church,﻿St. Genevieve,"﻿French, German, and sometimes English",,,,,﻿Sainte Genevieve County,﻿St. Genevieve,﻿St. Genevieve,﻿MO,﻿MO,37.97912503,-90.04695014,,,,﻿f_x_dahmen_901,﻿Rev.,﻿F. X. Dahmen,,,,,,,1836,﻿https://www.stegenevieveparish.com/,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0037,﻿church,﻿St. Joseph's,﻿English,,﻿Apple Creek settlement,,,﻿Perry County,,﻿Apple Creek,﻿MO,﻿MO,37.61339343,-89.75142333,,,,﻿reg_loisel_901,﻿Rev.,﻿R. Loisel,,,,,,,1836,﻿https://www.archstl.org/parish/st-joseph-apple-creek/,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0135,﻿church,﻿St. Paul's,English,,,,﻿Ralls County,﻿Ralls County,﻿Salt River,﻿Center,﻿MO,﻿MO,39.50249701,-91.60618174,,,,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,"﻿also visits the following counties: Pike, Lincoln, Monroe, Marion, Lewis, Clarke and Shelby",,,,1836,"﻿Source says the present church was built in 1860, but it stands to reason that if the record goes back this far, another structure stood here before the one still standing. Same name, same location: https://en.wikipedia.org/wiki/St._Paul_Catholic_Church_(Center,_Missouri)",,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9005,﻿church,﻿St. Mary's,English,,,,﻿Perry County,﻿Perry County,,﻿Perryville,﻿MO,﻿MO,37.72699742,-89.88981118,,,,﻿joh_brands_901,﻿Rev.,﻿John Brands,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
"﻿After the above cluster, almanac says ""The Rev. gentlemen of the Seminary in this place, attend several stations in the lower counties.""",﻿church,not recorded,English,,,,,,,,,,37.72699742,-89.88981118,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.0020,﻿church,﻿Church of the Good Shepherd,﻿French,,,,﻿St. Clair's County,﻿St. Clair County,﻿Cahokias,﻿Cahokia Heights,﻿IL,﻿IL,38.5700824,-90.1892805,,,,﻿pet_doutreluigne_902,﻿Rev.,﻿Peter Doutreluigne,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.0091,﻿church,not recorded,﻿English,,﻿English Settlement,,﻿Monroe County,﻿St. Clair County,,﻿Prairie Du Long Township,﻿IL,﻿IL,38.5700824,-90.1892805,,,,﻿v_van-cloostere_902,﻿Rev.,﻿V. Van Cloostere,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9001,﻿church,not recorded,English,﻿Church to be soon erected.,﻿French Village,﻿near Cahokias,,,,,﻿IL,,38.5700824,-90.1892805,,,﻿sometimes visited by Peter Doutreluigne,﻿#REF!,,﻿Peter Doutreluigne,,,﻿Will be served [when church is completed],,,,1836,﻿https://stclair-ilgs.org/1881french-village/,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.0053,﻿church,not recorded,English,,,,﻿Monroe County,,﻿Harrisonville,﻿Harrisonville,﻿IL,﻿IL,38.28670882,-90.34951975,,,﻿occasionally visited by Rev. V. Van Cloostere,﻿v_van-cloostere_902,﻿Rev.,﻿V. Van Cloostere,,,﻿visited once a month,,,,1836,﻿https://www.hmdb.org/m.asp?m=226556,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.0059,﻿church,﻿Church of the Conception,﻿French and English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,﻿IL,37.92209896,-89.91503761,,,,﻿ben_roux_901,﻿Rev.,﻿B. Roux,,,,,,,1836,"﻿https://en.wikipedia.org/wiki/Kaskaskia,_Illinois",,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.0083,﻿church,﻿St. Patrick's,English,,,,﻿Randolph County,﻿Randolph County,﻿O'Hara'sburg,﻿Ruma,﻿IL,﻿IL,38.12947755,-90.00877373,,,﻿once a month [by] Rev. V. Van Cloostere,﻿v_van-cloostere_902,﻿Rev.,﻿V. Van Cloostere,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.0092,﻿church,﻿St. Joseph,﻿French,,,,﻿Randolph County,﻿Randolph County,﻿Prairie du Rocher,﻿Prairie du Rocher,﻿IL,﻿IL,38.07923498,-90.09333592,,,﻿visited twice a month [by] Rev. V. Van Cloostere,﻿v_van-cloostere_902,﻿Rev.,﻿V. Van Cloostere,,,,,,,1836,﻿http://www.stjoespdr.org/,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9000,﻿church,not recorded,English,﻿and other places,,,﻿Sangamon County,,,,﻿IL,,38.07923498,-90.09333592,,,﻿visited by Rev. M. Condamine,﻿mat_condamine_902,﻿Rev.,﻿M. Condamine,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿chi.il.9003,﻿church,not recorded,English,,,,﻿Hancock County,,,,,,38.07923498,-90.09333592,,,﻿visited occasionally by Rev. P. Lefevre,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿chi.il.9004,﻿church,not recorded,English,,,,﻿McDonough County,,,,,,38.07923498,-90.09333592,,,﻿visited occasionally by Rev. P. Lefevre,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9003,﻿church,not recorded,English,,,,﻿Adams County,,,,,,38.07923498,-90.09333592,,,﻿visited occasionally by Rev. P. Lefevre,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9004,﻿church,not recorded,English,,,,﻿Pike County,,,,,,38.07923498,-90.09333592,,,﻿visited occasionally by Rev. P. Lefevre,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿lit.ar.0003,﻿church,not recorded,English,,,,,﻿Arkansas County,﻿Arkansas Post,﻿Gillett,﻿AR,﻿AR,34.01382102,-91.34448215,,,﻿visited alternatively by Rev. E. Dupuy,﻿a_dupuy_901,﻿Rev.,﻿E. Dupuy,,,,,,,1836,﻿https://www.nps.gov/arpo/learn/historyculture/index.htm ; https://home.nps.gov/arpo/learn/historyculture/arpo-timeline-4-decline.htm ; last list shows that this church in Arkansas Post was a short-lived effort,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿lit.ar.9000,﻿church,not recorded,English,,,,,,﻿Pine Bluff,﻿Pine Bluff,﻿AR,﻿AR,34.21378194,-92.00170641,,,﻿visited alternatively by Rev. E. Dupuy,﻿a_dupuy_901,﻿Rev.,﻿E. Dupuy,,,,,,,1836,﻿https://www.dolr.org/parishes/st-peter-church-pine-bluff,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿lit.ar.0001,﻿church,not recorded,English,,,,,,﻿Little Rock,,﻿AR,,34.7425025,-92.2723403,,,﻿visited alternatively by Rev. E. Dupuy,﻿a_dupuy_901,﻿Rev.,﻿E. Dupuy,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿lit.ar.0001,﻿station,not recorded,English,﻿other stations,,,,,﻿Little Rock,,﻿AR,,34.7425025,-92.2723403,,,﻿visited alternatively by Rev. E. Dupuy,﻿a_dupuy_901,﻿Rev.,﻿E. Dupuy,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿lit.ar.0001,﻿station,not recorded,English,﻿other stations,,,,,﻿Little Rock,,﻿AR,,34.7425025,-92.2723403,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.63642647,-90.2342251,,,,﻿pet_j_verhaegen_901,,﻿Peter. J. Verhaegen,,﻿President,,,,,1836,﻿https://www.slu.edu/timeline/index.php,"﻿The Mercantile Department embraces Reading, Writing, the English and French Languages, Poetry, Rhetoric, History, Geography, Mythology, Book-Keeping, Arithmetic, Algebra, Geometry, the use of the Globes, Trigonometry, Mensuration, and Survey-ng. The Classical Department, besides the above specified subjects, comprises the Latin and Greek Languages, Logic, Metaphysics, Moral and Natural Philosophy, and the higher branches of the Mathematics.",,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.63642647,-90.2342251,,,,﻿t_van-develde_901,,﻿T. Van Develde,,﻿Vice President,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9007,﻿college,﻿St. Mary's College,English,,,,﻿Perry County,﻿Perry County,﻿Barrens,﻿Perryville,﻿MO,﻿MO,37.72702392,-89.88984099,,,,﻿joh_odin_901,﻿Rev.,﻿John Odin,,﻿President,,,,,1836,"﻿https://en.wikipedia.org/wiki/St._Mary%27s_of_the_Barrens_Catholic_Church_(Perryville,_Missouri) ; St. Mary of the Barrens (Perry County, Missouri) - Missouri Life TV Season 5 - YouTube",,,﻿incorporated by the General Assembly of the State of Missouri,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9021,﻿seminary,﻿St. Mary's Seminary,English,,,,﻿Perry County,﻿Perry County,﻿Barrens,﻿Perryville,﻿MO,﻿MO,37.72702392,-89.88984099,,,,﻿j_b_tornatore_901,﻿Rev.,﻿J. B. Tornatore,,﻿Superiour,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9016,﻿novitiate,not recorded,English,,,,﻿St. Louis County,,﻿St. Stanislaus,,﻿MO,,37.72702392,-89.88984099,,,,﻿the_de-theux_901,﻿Rev.,﻿Theodore de Theux,,﻿Superiour,,,,﻿[under the direction of] the Society of Jesus,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9008,﻿convent,﻿Convent of the Ladies of the Sacred Heart,English,﻿founded by the munificence of John Mullanphy,,,,,﻿St. Louis,,﻿MO,,37.72702392,-89.88984099,,,,﻿#REF!,,﻿Madame Duchesne,,﻿Superiour,,﻿orphan,﻿12 orphans,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿lou.kt.0142,﻿convent and academy,﻿Convent and Female Academy of the Ladies of the Sacred Heart,English,﻿here is the novitiate of the Ladies of the Sacred Heart,﻿at St. Ferdinand,,,﻿St. Louis County,﻿Florissant,﻿Florissant,﻿MO,﻿MO,38.79522382,-90.32720227,,,,﻿#REF!,,﻿Madame Catherine Thiefry,,﻿Superiour,,,,﻿Ladies of the Sacred Heart,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9010,﻿convent and academy,﻿Convent and Female Academy,English,,﻿at St. Charles,,,,,,﻿MO,,38.79522382,-90.32720227,,,,﻿#REF!,,﻿Madame Lucille Mathevon,,﻿Superiour,,,,﻿Ladies of the Sacred Heart,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9013,﻿convent,﻿Convent of the Sisters of Loretto,English,,,,,﻿New Madrid County,﻿New Madrid,﻿New Madrid,﻿MO,﻿MO,36.58754291,-89.5288075,,,,﻿eul_s_relles_901,,﻿Eulalia Susan Relles,,﻿Superiour,,,,,1836,﻿https://dioscg.org/about/find-a-church/immaculate-conception-parish-new-madrid-mo/,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9017,﻿academy,﻿Ladies' Academy,English,,,,,﻿St. Louis County,﻿Carondelet,﻿St. Louis,﻿MO,﻿MO,36.58754291,-89.5288075,,,,﻿ang_hughes_901,﻿Sister,﻿Angela Hughes,,﻿Superiour,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9011,﻿convent and academy,﻿Convent and Female Academy of the Sisters of Loretto,English,,﻿near St. Mary's Seminary,,﻿Perry County,﻿Perry County,﻿Bethlehem,﻿Perryville,﻿MO,﻿MO,36.58754291,-89.5288075,,,,﻿jul_wather_901,﻿Sister,﻿Julia Wather,,﻿Superiour,,﻿orphan,,,1836,﻿https://history.ky.gov/markers/bethlehem-academy,"﻿Reading, Writing, Grammar, Arithmetic, Geography, History, Paint-ing. French, Needle Work, Embroidery, Music, etc.",,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9012,﻿convent and academy,﻿Convent and Female Academy of the Sisters of Loretto,English,,,,﻿Madison County,﻿Madison County,﻿Frederickstown,﻿Fredericktown,﻿MO,﻿MO,36.58754291,-89.5288075,,,,﻿ben_fenwick_901,﻿Sister,﻿Benedicta Fenwick,,﻿Superiour,,,,,1836,﻿Some history of the convent here on page 21: https://digital.library.missouri.edu/sites/default/files/2025-02/mu_417725.pdf,"﻿They will teach Reading, Writing, Grammar, Arithmetic, Geography, History, Painting, French, Needle work, Em-broidery, Music, etc.",,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9012,﻿convent and academy,﻿Convent and Female Academy of the Sisters of Loretto,English,,,,﻿Madison County,﻿Madison County,﻿Frederickstown,﻿Fredericktown,﻿MO,,36.58754291,-89.5288075,,,,﻿jos_rosati_901,﻿Right Rev.,﻿Rosati,,﻿Bishop,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9012,﻿convent and academy,﻿Convent and Female Academy of the Sisters of Loretto,English,,,,﻿Madison County,﻿Madison County,﻿Frederickstown,﻿Fredericktown,﻿MO,,36.58754291,-89.5288075,,,,﻿fra_cellini_901,﻿Rev.,﻿F. Cellini,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,﻿IL,36.58754291,-89.5288075,,,,﻿mar_a_brent_901,,﻿Mary Agnes Brent,,,,,,,1836,,"﻿English, Orthography, Reading, Writing, Arithmetic, English and French, Grammar and Composition, Geography, Sacred and Profane History, Ancient and Modern Chronology, Mythology, Poetical Composition, Rhetoric, Philosophy, Chemistry, Astronomy, Use of the Maps and Globes. Also, Music, vocal and instrumental, on the Harp, Piano and Guitar, Painting in water colours and on Velvet, plain and ornamental Needle-work, Tapestry, Lace and Bead work, &c.",,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
